Počet modulů;2;;3;;4;;5;;6;;7;
Cena;910 Kč;;2 729 Kč;;5 459 Kč;;9 098 Kč;;13 647 Kč;;19 106 Kč;
;;;;;;;;;;;;
;;;;;;;;;;;;
Délka zastřešení;4 336;mm;6 446;mm;8 556;mm;10 666;mm;12 776;mm;14 886;mm
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
PRACTIC;2;;3;;4;;5;;6;;7;
do 3 m;60 461;0,91;84 067;0,96;118 839;1,01;148 254;1,06;179 550;1,11;212 648;1,16
do 3,25 m;63 496;0,98;88 016;1,03;122 330;1,08;152 373;1,13;184 166;1,18;217 770;1,23
do 3,5 m;66 532;1,05;91 965;1,10;126 931;1,15;157 877;1,20;190 459;1,25;224 879;1,30
do 3,75 m;72 106;1,12;99 702;1,17;131 130;1,22;162 726;1,27;195 997;1,32;230 901;1,37
do 4 m;76 766;1,19;106 113;1,24;137 069;1,29;169 747;1,34;204 162;1,39;240 035;1,44
do 4,25 m;78 944;1,26;108 822;1,31;140 340;1,36;173 518;1,41;208 335;1,46;246 388;1,51
do 4,5 m;81 853;1,33;112 543;1,38;144 917;1,43;178 905;1,48;214 452;1,53;255 027;1,58
do 4,75 m;87 470;1,40;119 552;1,45;155 692;1,50;188 648;1,55;225 607;1,60;265 889;1,65
do 5 m;93 087;1,47;126 561;1,52;166 467;1,57;198 391;1,62;236 762;1,67;276 751;1,72
do 5,25 m;97 395;1,54;132 255;1,59;171 111;1,64;206 824;1,69;246 599;1,74;287 925;1,79
do 5,5 m;101 702;1,61;137 949;1,66;175 755;1,71;215 257;1,76;256 437;1,81;299 099;1,86
do 5,75 m;;;;;;;;;;;;
do 6 m;;;;;;;;;;;;
do 6,25 m;;;;;;;;;;;;
do 6,5 m;;;;;;;;;;;;
do 6,75 m;;;;;;;;;;;;
do 7 m;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
HARMONY;;;;;;;;;;;;
do 3 m;108 923;2,10;145 123;2,12;182 707;2,14;221 323;2,15;261 720;2,17;305 240;2,19
do 3,25 m;115 908;2,11;154 899;2,13;195 272;2,15;236 857;2,16;280 154;2,18;326 615;2,20
do 3,5 m;122 893;2,12;164 675;2,14;207 837;2,16;252 391;2,17;298 588;2,19;347 989;2,21
do 3,75 m;130 075;2,13;173 948;2,15;219 224;2,17;265 811;2,18;314 271;2,20;365 893;2,22
do 4 m;137 256;2,14;183 221;2,16;230 611;2,18;279 232;2,19;329 955;2,21;383 797;2,23
do 4,25 m;141 469;2,16;188 627;2,18;237 265;2,20;287 115;2,21;339 035;2,23;394 131;2,25
do 4,5 m;145 682;2,17;194 033;2,19;243 919;2,21;294 998;2,22;348 116;2,24;404 464;2,26
do 4,75 m;155 784;2,18;207 506;2,20;260 789;2,22;315 304;2,23;371 907;2,25;431 773;2,27
do 5 m;165 885;2,20;220 979;2,22;277 658;2,24;335 610;2,25;395 698;2,27;459 081;2,29
do 5,25 m;172 474;2,21;229 821;2,23;288 764;2,25;349 013;2,26;411 356;2,28;477 086;2,30
do 5,5 m;179 062;2,23;238 664;2,25;299 871;2,27;362 417;2,28;427 013;2,30;495 091;2,32
do 5,75 m;195 932;2,24;262 008;2,26;329 753;2,28;398 839;2,30;470 162;2,32;544 892;2,34
do 6 m;212 802;2,26;285 352;2,28;359 635;2,29;435 261;2,31;513 311;2,33;594 693;2,35
do 6,25 m;;;;;;;;;;;;
do 6,5 m;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
DREAM;;;;;;;;;;;;
do 3 m;78 918;0,54;112 264;0,61;148 237;0,68;186 385;0,75;228 151;0,82;282 332;0,89
do 3,25 m;84 000;0,55;119 670;0,62;158 107;0,69;198 795;0,76;243 227;0,83;299 240;0,90
do 3,5 m;87 847;0,57;124 602;0,64;164 267;0,71;206 258;0,78;250 882;0,85;307 492;0,92
do 3,75 m;92 373;0,60;130 990;0,67;172 567;0,74;217 543;0,81;264 214;0,88;319 747;0,95
do 4 m;96 899;0,62;137 378;0,69;180 867;0,76;228 828;0,83;277 546;0,90;332 002;0,97
do 4,25 m;100 883;0,64;142 480;0,71;187 078;0,78;235 080;0,85;284 805;0,92;339 887;0,99
do 4,5 m;104 867;0,66;147 581;0,73;193 289;0,80;241 331;0,87;292 064;0,94;347 773;1,01
do 4,75 m;112 610;0,68;158 432;0,75;207 403;0,82;258 777;0,89;312 929;0,96;372 176;1,03
do 5 m;120 353;0,70;169 282;0,77;221 516;0,84;276 222;0,91;333 794;0,98;396 579;1,05
do 5,25 m;126 814;0,72;178 466;0,79;233 462;0,86;291 761;0,93;352 289;1,00;418 080;1,07
do 5,5 m;133 276;0,74;187 649;0,81;245 408;0,88;307 300;0,95;370 785;1,02;439 580;1,09
do 5,75 m;144 502;0,76;203 384;0,83;266 436;0,90;331 689;0,97;399 017;1,04;471 119;1,11
do 6 m;155 729;0,78;219 119;0,85;287 463;0,92;356 078;0,99;427 249;1,06;502 657;1,13
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
HORIZONT;;;;;;;;;;;;
do 3 m;59 038;0,70;83 590;0,77;110 618;0,84;138 553;0,91;168 317;0,98;199 813;1,05
do 3,25 m;64 626;0,72;91 504;0,79;121 156;0,86;151 676;0,93;184 104;1,00;218 325;1,07
do 3,5 m;69 134;0,75;97 259;0,82;127 375;0,89;159 399;0,96;193 411;1,03;229 279;1,10
do 3,75 m;72 850;0,77;102 300;0,84;133 739;0,91;167 105;0,98;202 453;1,05;239 650;1,12
do 4 m;76 567;0,80;107 342;0,87;140 103;0,94;174 811;1,01;211 494;1,08;250 022;1,15
do 4,25 m;80 706;0,82;112 399;0,89;146 105;0,96;181 729;1,03;219 320;1,10;259 246;1,17
do 4,5 m;84 845;0,85;117 456;0,92;152 108;0,99;188 648;1,06;227 146;1,13;268 471;1,20
do 4,75 m;88 628;0,87;122 556;0,94;160 356;1,01;194 449;1,08;236 195;1,15;278 383;1,22
do 5 m;92 412;0,90;127 656;0,97;168 605;1,04;204 073;1,11;245 245;1,18;288 295;1,25
do 5,25 m;98 660;0,92;136 547;0,99;178 342;1,06;218 404;1,13;262 352;1,20;308 249;1,27
do 5,5 m;104 909;0,95;145 439;1,02;188 080;1,09;232 735;1,16;279 458;1,23;328 203;1,30
do 5,75 m;112 026;0,97;154 988;1,04;200 081;1,11;247 229;1,18;296 490;1,25;347 778;1,32
do 6 m;119 142;1,00;164 537;1,07;212 083;1,14;261 724;1,21;313 522;1,28;367 352;1,35
do 6,25 m;;;;;;;;;;;;
do 6,5 m;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
STAR;;;;;;;;;;;;
do 3 m;102 513;2,04;144 888;2,09;190 728;2,14;239 439;2,19;291 293;2,24;361 162;2,29
do 3,25 m;109 221;2,05;154 661;2,10;203 753;2,15;255 816;2,20;311 187;2,25;383 476;2,30
do 3,5 m;115 929;2,07;164 433;2,12;216 778;2,17;272 193;2,22;331 082;2,27;405 789;2,32
do 3,75 m;121 902;2,10;172 864;2,15;227 732;2,20;287 086;2,25;348 676;2,30;421 961;2,35
do 4 m;127 875;2,12;181 295;2,17;238 685;2,22;301 978;2,27;366 269;2,32;438 133;2,37
do 4,25 m;133 132;2,14;188 026;2,19;246 882;2,24;310 228;2,29;375 849;2,34;448 540;2,39
do 4,5 m;138 390;2,16;194 758;2,21;255 079;2,26;318 478;2,31;385 429;2,36;458 946;2,41
do 4,75 m;148 608;2,18;209 078;2,23;273 704;2,28;341 500;2,33;412 964;2,38;491 150;2,43
do 5 m;158 826;2,20;223 397;2,25;292 328;2,30;364 522;2,35;440 499;2,40;523 355;2,45
do 5,25 m;167 353;2,22;235 516;2,27;308 093;2,32;385 029;2,37;464 906;2,42;551 728;2,47
do 5,5 m;175 880;2,24;247 636;2,29;323 858;2,34;405 536;2,39;489 314;2,44;580 102;2,49
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
ROCK;;;;;;;;;;;;
do 3 m;69 072;1,50;97 114;1,57;126 996;1,63;158 996;1,70;193 071;1,76;229 094;1,83
do 3,25 m;75 146;1,60;105 716;1,67;138 451;1,73;173 260;1,80;210 230;1,86;249 216;1,93
do 3,5 m;83 225;1,73;116 676;1,80;152 285;1,86;190 012;1,93;229 885;1,99;271 763;2,06
do 3,75 m;87 724;1,85;122 173;1,92;158 810;1,98;197 532;2,05;238 391;2,11;281 790;2,18
do 4 m;92 223;1,98;127 669;2,05;165 334;2,11;205 052;2,18;246 897;2,24;291 816;2,31
do 4,25 m;96 335;2,08;133 213;2,15;174 300;2,21;211 357;2,28;256 734;2,34;302 590;2,41
do 4,5 m;100 447;2,20;138 757;2,27;183 266;2,33;221 818;2,40;266 570;2,46;313 364;2,53
