;;Rock;
Jednokřídlé dveře do 1 m;5 000 Kč;5 000 Kč;
Jednokřídlé dveře nad 1 m;7 000 Kč;7 000 Kč;
Dveře pro boční vstup;7 000 Kč;7 000 Kč;
Uzamykání dveří;800 Kč;800 Kč;
Větrací klapka;7 000 Kč;7 000 Kč;
;;;
Zkrácení modulu;1 500 Kč;1 500 Kč;
Prodloužení modulu;3 000 Kč;3 000 Kč;
Prodloužení modulu za metr;2 000 Kč;2 000 Kč;
Zvýšení zastřešení;3%;2%;
Změna barvy polykarbonátu;7%;7%;
Zpevnění pro podhorskou oblast;15%;15%;
Plný polykarbonát;1 000 Kč;1 000 Kč;
Montáž zastřešení v ČR;6%;8%; 5 500 Kč 
Montáž zastřešení v zahraničí;8%;10%;
Jeden metr koleje;220 Kč;330 Kč;
Uzamykání segmentu;1 000 Kč;1 000 Kč;
Pochozí kolejnice;330 Kč;380 Kč;
Plexi;600 Kč;600 Kč;
Příplatek za BR elox;5%;5%;
Příplatek za RAL nástřik;20%;20%;
Příplatek za antracit elox;5%;5%;
